# names: 7036 rows -- regenerate with `make baseline`
AC1	sharp
Sabazius	surname
Sabelli	Sabines, Varr. ap
Sabellius	elder of the Christian Church at Rome
Sabini	Sabines, an ancient Italian people adjoining the Latins
Sabis	river in Gallia Belgica, now the Sambre
Sabota	city in Arabia Felix
Sabrata	town of Africa, near the Lesser Syrtis, now Sabart
Sabrina	river of Britain, now the Severn
Saburra2	lieutenant of King Juba
Sabus	king of India
Sacae	people of Northern Asia, a part of the Scythians
Sacerdos2	surname of frequent occurrence
Sacrani	ancient people of Latium
Sacrator2	name of a warrior
Sacriportus	place in Latium, near Proeneste
Sacrovir	nobleman of the Hoedui in Gaul
Sadala	king of Thrace
Sadducaei	Sadducees, a religious sect among the Jews
Saepinum	town of the Samnites
Saetabis	town of Hispania Tarraconensis, celebrated for its flax
Sagalessos	important town of Pisidia
Saganos	small river of Carmania
Sagaris1	river in Phrygia and Bitnynia
Sagaris2	name of a Trojan
Sagittiger	constellation of the Archer
Sagittipotens	constellation of the Archer
Sagra	river of Lower Italy
Saguntum	town in Hispania Tarraconensis, on the Mediterranean
Sais	capital of Lower Egypt, now Sa el-Hajar
Salacia	goddess of the sea, wife of Neptune
Salambo	goddess of love among the Babylonians
Salamis	island of Salamis, in the Saronic Gulf, opposite Eleusis
Salapia	city in Daunian Apulia, now Salpi
Salassi	Alpine tribe in the modern Savoy
Sale2	lake in Lydia
Saleius	inferior
Salentini	people of Calabria, on the south-eastern extremity of Italy
Salernum	maritime town in the Picentine territory, now Salerno
Salganea	town of Boeotia, near the Euripus
Saliaris1	belonging to the Salii
Saliatus	office or dignity of a Salius
Salii1	college of priests at Rome dedicated by Numa
Salii2	Salians, a part of the Franks
Salinator2	Roman surname
Salisubsuli	dancing priests of Mars
Sallustius	Sallust, a Roman name
Salluvii	Celtic or Ligurian tribe in Gallia
Salmacis	very cleat fountain in Caria, much used
Salmoneus	son of Aeolus, brother of Sisyphus
Salo2	river of Hispania Tarraconensis, near the town of Bilbilis
Salomon	Solomon, son of David
Salonae	maritime town in Dalmatia, still called Salona
Salpinates	people of Etruria
Salsula	Roman female name
Salsulae	saltspring in Gallia Narbonensis, now La Fontaine des Salses
Salutio	Roman surname of one Scipio
Salvianus	of or named from one Salvius, Salvian
Samarabriae	people of India
Samaria	middle district of Palestine
Samarobriva	town of Gallia Belgica
Sambraceni	people of India
Sambrachate	island on the Arabian coast
Same	N. cr
Samiolus	Samian
Sammonium	promontory of Crete
Samnium	ancient country of Italy, in the neighborhood of Latium
Samosata	capital of Commagene
Samothracia	Samothrace, an island near the coast of Thrace
Sampsiceramus	humorous designation of Pompey in Cicero's letters
Samus	island on the coast of Asia Minor opposite Ephesus
Sancus	deity of the Sabines
Sandalios	island near Samos
Sandaliotis	ancient name of Sardinia
Sanni	people in Pontus
Sannigae	people in Pontus
Sanqualis	of or belonging to Sancus
Santoni	people of Aquitania
Santra	famous grammarian
Saoces	mountain in Samothrace
Sapaei	Thracian people on the Propontis
Sape	city in Ethiopia on the Arabian gulf
Sapis	river in Cisalpine Gaul and Umbria
Sapphar	city in Arabia Felix
Sappho	celebrated poetess
Sapriportus	harbor between Sybaris and Tarentum
Saraceni	Saracens, a people of Arabia Felix
Sarda2	Sardinian woman
Sardanapalus	celebrated effeminate king of Assyria
Sardi	inhabitants of the island of Sardinia, the Sardinians
Sardis	Sart), the very ancient capital of Lydia
Sare	village in Thrace
Sarmata	Sarmatian
Sarnus	river in Campania, near Pompeii, now the Sarno
Saronicus	Saronic Gulf
Sarpedon	son of Jupiter and Europa, king of Lycia
Sarra	city of Tyre, in Phoenicia
Sarrastes	people of Campania, near the Sarnus
Sarsina	ancient town in Umbria, the birthplace of Plautus
Saserna	friend of Antony
Saso	small island near the promontory Acroceraunia
Sassius	Roman family name. —Sassia, ae, f
Sassula	town of Latium, in the neighborhood of Tibur
Satanas	adversary, Satan, the Devil
Saticula	town of Samnium, on the frontiers of Campania
Satricum	ancient town in Latium, on the Appian Way
Satricus	name of a warrior
Saturae	lake in Latium, otherwise unknown
Satureianus	appellation of a region in Appulia
Saturio	name of a lost comedy of Plautus
Saturnigena	offspring of Saturn
Saturninus	Roman surname
Saturnus	Saturn
Satyriscus	little Satyr
Saufeius	Roman family name
Saul	first king of the Jews
Saulus	Saul, the name of St. Paul before his conversion
Saurea	name of a slave
Sauroctonos	lizard-killer, an epithet of Apollo
Savus	river in Pannonia, a tributary of the Danube
Saxa	surname of L. Decidius, a partisan of Coesar
Saxa Rubra	name of a place
Saxo	Saxon
Scaea porta	Scoean
Scaeva3	Roman surname
Scaevola	surname of C. Mucius
Scaldis	Scheldt, a river of Gallia Belgica
Scamander	river in Troas, the Scamander, now the Bunar-bashi Tchai
Scandianus	named from one Scandius
Scandila	island near Euboea, now Skantzoura
Scandinavia	large and fruitful island in Northern Europe
Scantinius	Roman name
Scantius	a, Roman family name
Scaptesula	town in Thrace, celebrated for its silver mines
Scaptia	very ancient town in Latium, now Passerano
Scapula1	Roman surname
Scardus	mountain in Illyria, now Sharradagh or Tchardagh
Scarphea	town of Locris, near Thermopyloe
Scaurianus	with large and swollen ankles
Scaurus	frequent surname in the gens Aemilia and Aurelia
Scepsis	town in Mysia
Sceptici	Sceptics, the disciples of Pyrrho
Schoeneus	king of Boeotia, father of Atalanta
Sciapodes	fabulous people in Libya
Sciathos	small island in the Sinus Thermaicus
Scipio2	name of a celebrated family in the gens Cornelia
Sciron1	noted robber on the rocky coast between Megaris and Attica
Sciron2	Epicurean philosopher in Cicero's time
Scissis	town of Hispania Tarraconensis
Scodra	town of Dalmatia, now Scutari, on Lake Labeatis
Scolos	city of Boeotia
Scopas	famous Grecian sculptor of Paros
Scordisci	people on the borders of Illyria
Scordus	mountain of Illyria
Scoti	Scots, a people in the northern part of Britain
Scotinus	epithet of Heraclitus
Scotusa	town of Macedonia, near the Strymon
Scribonius	Roman family name
Scrofa2	Roman surname, taken from swine-breeding
Scultenna	river of Upper Italy, near Mutina
Scydra	city of Macedonia
Scylace	city of Asia Minor, near Cyzicus
Scylaceum	town on the coast of Bruttium, now Squillace
Scylax	native of Halicarnassus
Scylla	celebrated rock between Italy and Sicily, opposite to Charybdis
Scyritae	fabled people of India, with feet like serpents
Scyros	island of the Aegean Sea, opposite Euboea, now Skyro
Scytalosagittipelliger	Club-shaft-and-hide-bearer, an epithet of Hercules, Poet. ap
Scytha	Scythian
Scythopolis	town of Palestine, now Bysan
Scythotauri	Scythian tribe in the Tauric Chersonesus
Sebaste	city in Samaria
Sebethos	small stream in Campania, now Maddalona
Sebinnus	lake in Upper Italy, now Lago d'Iseo
Sebosus2	Roman surname
Secande	city of Ethiopia
Secundus2	Roman proper name
Sedigitus	Roman surname given to the poet C. Volcatius
Sedulius	proper name
Seduni	Helvetian people in the region of the mod
Sedusii	people of Germany
Segesta1	ancient city on the northern coast of Sicily
Segestes	German prince, father-in-law of Arminius
Segestica	town of the Celtiberi
Segetia	goddess that protects the standing crops
Segni	German tribe in Gallia Belgica
Segobriga	chief town of the Celtiberians
Segontiaci	people in the southern part of Britannia
Segusiavi	people in Gallia Lugdunensis
Seja	Roman tutelary goddess of sowing
Sejus	Roman name
Selene	daughter of Ptolemy Physco
Seleucia	name of several cities in Asia
Seleucis	kind of bird on Mount Casius
Seleucus	name of several kings of Syria
Selgiticus	of or belonging to the city of Selga
Selinus	town on the coast of Sicily, near Lilyboeum
Sellasia	town of Laconia, on the river Oenus
Selymbria	town of Thrace, on the Propontis
Semele	daughter of Cadmus
Semichristianus	half-Christian
Semigaetulus	half-Goetulian, semi-Goetulian
Semigermanus	halfGerman, semi-German
Semigraeculus	little half-Greek
Semigraecus	halfGreek, semi-Grecian
Semijudaeus	half-Jew, half a Jew
Semimedus	half-Mede, half a Mede
Seminumida	half-Numidian, half a Numidian
Semipersa	half-Persian, half a Persian
Semiplacentinus	half-Placentine, half a Placentine
Semiramis	celebrated queen of Assyria, consort and successor of Ninus
Semnones	people of Northern Germany
Semo	ancient god that presided over the crops
Semonia	goddess of the Romans that presided over the crops
Sempronius	Roman family name
Semurium	field near Rome
Sena	town on the coast of Umbria
Seneca	surname
Senecio2	Roman surname
Seniensis	town of Etruria, now Siena
Senones	people in Gallia Lugdunensis
Senta	place in Dalmatia, noted for a curious cavern
Sentinas	of or belonging to Sentinum
Sentinus	deity who gives sensation to new-born infants, Varr
Sentius	Roman family name
Sepias	promontory of Magnesia
Seplasia	street in Capua
September	seventh month of the Roman year, reckoning from March
Septicianus	of or belonging to a Septicius, Septician
Septimius	Roman family name
Septimontialis	of or belonging to the feast of the Seven Hills
Septimontium	circuit of the Seven Hills
Septizonium	large building in Rome in the twelfth region
Sepyra	village in Cilicia, on Mount Amanus
Sequana	one of the principal rivers of Gallia Celtica
Seraphin	Seraphim, a higher order of angels among the Hebrews
Serapio	name of an Egyptian ambassador to Rome
Serapis	chief divinity of the Egyptians
Serdica	city of Moesia
Serena	Roman female name
Serenator	he that makes fair weather, the clearer-up
Serenus2	proper name
Seres	people of Eastern Asia
Serestus	name of a Trojan who followed Aeneas
Sergestus	steersman among the followers of Aeneas
Sergius	Roman family name
Seriphus	small rocky island in the Aegean Sea
Serranus	surname
Serrapilli	people of Pannonia, on the Danube
Serretes	people of Pannonia, on the Danube
Serrheum	promontory in Thrace, with a fortification
Sertor	Latin proenomen [of disputed origin
Sertorius	proper name
Servilius	Roman family name
Servius	Roman proper name
Sescentoplagus	man of six hundred stripes
Sesia	goddess that presides over sowing
Sesostris	celebrated king of Egypt
Sesothes	name of an Egyptian king
Sesquiulixes	name of a satire of Varro
Sestius	Roman family name
Sestos	city in Thrace, on the Hellespont, opposite Abydos
Setia	ancient mountain-city in Latium, near the Pomptine Marshes
Severus2	proper name
Sevianus	of or belonging to a Sevius
Sevo	mountain of northern Germany, in the island of Scandia
Sexitanus	of or belonging to Sex
Sextilianus	Roman surname
Sextilis	sixth, only with mensis, of the month of August
Sextilius	Roman family name
Sextus2	Roman proper name.—
Sibuzates	people in Aquitania
Sibylla	female soothsayer, a prophetess, Sibyl, Varr. ap
Sicani	very ancient people of Italy on the Tiber
Sicca	border-town on the east of Numidia
Sicimina	mountain in Gallia Cisalpina
Sicinius	Roman family name
Sicoris	tributary of the Iberus, near Ilerda, in Hispania Tarraconensis
Siculi	Siculians or Sicilians
Sicyon	capital of the territory of Sicyonia in the Peloponnesus
Sida	town in Pamphylia, now Eski Adalia
Sidicini	people in Campania
Sido2	chief of the Suevi about the middle
Sidon	very ancient and celebrated Phoenician city
Sidonius1	proper name
Sigalion	god of Silence among the Egyptians
Sigambri	powerful people of Germany
Sigeum	promontory in Troas
Sigillaria	last days of the Saturnalia
Sigimerus	prince of the Cherusci
Signia	ancient town in Latium which produced an astringent wine
Signias	mountain in Greater Phrygia
Sila	large forest in the country of the Bruttii
Silana	town of Thessaly
Silanio	celebrated statuary
Silanus1	Roman surname in the Julian gens
Silarus	river forming the boundary between Lucania and Campania
Silenicus	of or sacred to Silenus
Silenus	tutor and constant attendant of Bacchus
Silices	mountain-tribe in Asia
Silis	name of several rivers
Silius	Roman family name
Silpia	city of Hispania Baetica, prob
Silures	warlike people of Britain
Silus2	Roman surname
Silvanae	female wood-deities
Silvanus	deity presiding over woods and all places planted with trees
Silvini	people of Apulia
Silvius	name of several kings of Alba Longa
Simbruvium	district in Latium
Simo2	proper name
Simois	small river in Troas that falls into the Scamander
Simon1	chief of the Jews
Simon2	famous statuary
Simonides	celebrated lyric poet of Cos
Simulus2	proper name
Sindenses	inhabitants of Sinda
Sindes	river in Asia
Sindica	part of Scythia on the Black Sea
Sindos	city of Scythia, on the Cimmerian Bosporus
Sindus	Indian name of the river Indus
Singania	river of Pontus
Singara	city of Mesopotamia, the capital of the Arabes Praetavi
Singentiana	plant
Singidonensis	of or belonging to the town Singido in Pannonia
Singili	city in Hispania Baetica
Singos	city of Chalcidice, on the Aegean Sea
Sinis	mythical robber on the Isthmus of Corinth
Sinnius	Roman family name
Sinon2	son of Aesimus
Sinonia	island in the Tyrrhenian Sea, now Sanone
Sinope	famous Greek colony in Paphlagonia, on the Euxine
Sinti	people of Macedonia
Sinuessa	colony of the Latins, formerly called Sinope, in Campania
Sion2	hill of Jerusalem
Siphae	city of Boeotia, on the borders of Phocis
Siphnus	one of the Cyclades, now Sifano
Sipontum	important maritime town in Appulia
Sipylus	mountain on the frontiers of Lydia and Phrygia
Siraci	people of Asiatic Sarmatia
Sirae	town of the Odomantic region in Thrace
Sirbitum	city in Ethiopia
Sirbonis	lake on the borders of Palestine
Siredones	Sirens
Siris2	name of a branch of the Nile in Ethiopia
Sirius	dog-star, Sirius
Sirmio	peninsula on the shores of the Lacus Benacus
Sirmium	important city of Pannonia Inferior, now Mitrovitz
Sirona	name of a goddess among the Gauls
Sisapo	small town in Hispania Baetica
Siscia	city of Pannonia, now Siszek
Sisenna	Roman surname
Sisichthon	Earth-shaker, an epithet of Neptune
Sisygambis	Persian female name
Sisyphus	Son of Aeolus, king of Corinth
Sitellitergus	title of a comedy by Plautus
Sithone	city of Macedonia
Sithonii	Thracian people
Sitiogagus	river of Asia
Sitones	people of northern Germany
Sittius	Roman family name
Smaragdites	mountain on which the smaragdus was found
Smerdis	brother of Cambyses, king of Persia
Smintheus	epithet of Apollo
Smyrna2	celebrated maritime city of Ionia
Socrates	celebrated Greek philosopher
Sodanus	river of Gedrosia
Sodii	Iberian people in Asia
Sodoma	city of Sodom in Palestine
Sogdiana	district in Asia between the Jaxartes and the Oxus
Sogionti	Alpine people
Solanus	east wind
Soletum	town in Calabria
Soli	town of Cilicia, afterwards called Pompeiopolis, now Mezetli
Solinus	Roman writer of the third century of the Christian era
Solon1	famous legislator of the Athenians
Solon2	city of the Allobroges, in Gallia Narbonensis
Solonates	Gallic tribe in Gallia Cisalpina, south-west of Forum Julii
Solonium	district near Lanuvium, on the Via Ostiensis
Solorius	mountain in Hispania Tarraconensis
Solus2	town on the northern coast of Sicily
Solva	city of Noricum
Solymus	Trojan, the founder of Sulmo
Sontiates	powerful tribe in Aquitania
Sontini	people of Lucania
Sontius	river in Carinthia, now the Lisonzo
Sonus3	river of India, a branch of the Ganges
Sopater	Greek proper name
Sophene	district in Armenia
Sopheni	people of Asia
Sophocles	celebrated Greek tragic
Sophoclidisca	name of a woman
Sophoniba	wife of Syphax and daughter of Hasdrubal
Sophron	Greek composer of mimes
Sophrona	name of a woman, nurse of Pamphila
Sophroniscus	statuary, the father of Socrates
Sophus2	surname of the consul P. Sempronius
Sopolis	celebrated painter in the time of Cicero
Sora	northernmost city of the Volsci in Latium, near Arpinum
Soracte	high mountain in Etruria
Soractia	city of Syria, founded by Semiramis
Soranus2	epithet of Dis
Sordones	people of Gaul, towards the Pyrenees
Soricaria	town of Hispania Baetica, Auct
Sosagoras	Greek physician
Sosia	name of a servant
Sosigenes	famous astronomer employed by Julius Coesar in reforming the calendar
Sosilus	Lacedoemonian who instructed Hannibal in Greek literature
Sosippus	Greek proper name
Sosis	Greek proper name
Sositheus	Greek proper name
Sosius	Roman family name
Sostratus	Greek proper name
Sosus1	proper name
Sosus2	title of a book written by Antiochus against Philo
Sotades	obscene Greek
Soter	savior, deliverer, preserver
Sotericianus	belonging to the Saviour
Sotericus	Greek proper name
Sotiates	people in Gallia Aquitania, now Sos, Depart. du Gers
Spaco	nurse of Cyrus
Spalathra	city on the Thessalian coast
Spalei	people on the Tanais
Sparax	name of a slave
Sparta	famous capital of Laconia, more usually called Lacedaemon
Spartacus	celebrated Thracian gladiator
Sparti	armed men who sprang up from the dragon's teeth sown
Spartianus	Roman historian of the time of Diocletian
Spatale	name of a nymph
Spercheos	river of Thessaly, rising on Mount Pindus
Speusippus	nephew of Plato
Sphaerus	Stoic, a pupil of Zeno
Sphagiae	three rocky islands near Pylos
Spiniensis	deity that guarded the fields against thorns
Spino	small stream near Rome
Spintharus	slave and amanuensis of Cicero
Spinther2	Roman surname
Spintum	town of Ethiopia
Spio	sea - nymph, daughter of Nereus and Doris
Spiraeum	promontory of Argolis, on the Saronic Gulf
Spiridion	surname of the rhetorician Glycon, Quint. § 1
Spoletium	city of Umbria, now Spoleto
Spongia2	proper name, perh. fictitious, in contempt
Sporades	islands in the Aegean Sea
Sporus	eunuch, a favorite of Nero
Spurinna	surname of several Romans
Spurius2	Roman proenomen
Staberius	name of a Latin grammarian
Stabiae	small town on the coast of Campania near Pompeii
Stadia	ancient name of the town of Cnidus in Caria
Stadios	Greek painter
Stadisis	town in Ethiopia
Stadius	name of a man
Stagira	town in Macedonia, the birthplace of Aristotle
Staienus	Roman surname
Stalagmus	name of a slave
Staphyla	name of a woman
Staphylus	son of Silenus
Staseas	Peripatetic philosopher of Neapolis
Stasiastae	name of a tragedy of Attius
Stasimus	name of a slave
Statanus	deity who presided over the standing of children
Statianus	name of a lieutenant of Antony
Statielli	people of Liguria
Statilius	Roman name
Statius	name for slaves
Statones	people of Statonia in Southern Etruria
Stator2	stayer, supporter, an epithet of Jupiter
Statorius	Roman family name
Staures	people on the Caspian Sea
Steganos	one of the channels by which the city
Stellatis ager	district in Southern Campania, near Cales
Stellio2	Roman surname
Stena	narrow defile near Antigonea, in Chaonia
Stentor	Greek warrior in the army before Troy
Stephane1	Ancient name of the island of Samos
Stephane2	mountain in Thessaly
Stephaneplocos	Chaplet-wreather, a picture by Pausias
Stephanio	mime of the time of Augustus
Stephanium	character in the Stichus of Plautus
Stephanus	Grecian sculptor
Stephanusa	female Chaplet-wreather, a little statue of Praxiteles
Sterculius	deity that presides over manuring
Steria	town in Attica
Sterope	One of the Pleiades, Att. ap
Steropes	one of the Cyclops in Vulcan's smithy
Stertinius	Stoic philosopher
Stesichorus	Greek lyric poet of Himera
Stheneboea	daughter of Iobates, king of Lycia
Sthenelus	King of Mycenoe, son of Perseus
Sthenius	Thermitan
Sthennis	sculptor of Olynthus
Stheno	daughter of Phorcus and Ceto, sister of Medusa, Hyg
Stichus	name of a slave
Sticte	one of Actoeon's hounds
Stilbon	name of the planet Mercury
Stilicho	famous general and father-in-law of the emperor Honorius
Stilo2	surname of L. Aelius Praeconinus
Stilpo	proper name, Ter. ap
Stimula	goddess who pricks on, excites
Stiria2	island near the coast of Cilicia
Stobi	ancient and important city of Paeonia in Northern Macedonia
Stoechades	group of islands on the southern coast of Gaul
Stoicida	nickname of a voluptuary who gave himself out
Stoicus	belonging to the Stoic philosophy or to the Stoics
Stoidis	island off the Indian coast, famous for pearls
Stolo2	cognomen in the gens Licinia
Strabo2	Roman surname
Stratie	town of Arcadia
Stratioton	promontory in Ethiopia
Stratippocles	name of a man
Stratius	physician of king Eumenes
Strato	philosopher of Lampsacus
Stratocles	celebrated comedian
Stratoclia	town on the Cimmerian Bosporus
Straton	Peripatetic philosopher
Stratonice	daughter of Demetrius Poliorcetes
Stratonicea	considerable town of Caria, now Eski-hissar
Stratonicis	appellation of Venus among the Smyrneans
Stratonicus	Greek sculptor
Stratophanes	name of a soldier
Stratos	town of Acarnania, on the Achelous
Strenia	goddess that presides over new-year's gifts
Strobilus2	name of a slave
Stromateus	writer of miscellanies
Strongyle2	one of the Lipari islands, now Stromboli
Strongylion	Grecian sculptor
Strophades	two islands lying off the coast of Messenia
Strophius	king of Phocis, father of Pylades
Struma2	Roman surname
Stubera	city in Macedonia
Stura	river of Cisalpine Gaul
Sturii	German tribe
Sturium	island in the Mediterranean, near the coast of Gaul
Sturnini	people of Calabria
Stymphalus	district in Arcadia, with a town, mountain
Styphelus	Centaur
Styx	fountain in Arcadia
Suanenses	inhabitants of Suana, in Etruria
Suanetes	Alpine people
Suani	people of Pontus
Suardones	German tribe between the Oder and the Elbe
Suari	people of India, north of the Ganges
Suasani	people of Umbria
Subballio	Under - Ballio, Sub - Ballio
Suberinus2	Roman surname
Subertani	people of Etruria, the inhabitants of Subertum
Subi	river of Spain
Subigus	tutelary god of the wedding-night
Sublaqueum	little town of the Aequi, in Latium
Subnero	second Nero, an appellation given to the emperor Domitian
Subocrini	Alpine people
Subota	island of the Aegean Sea
Subulo2	Roman surname
Subur	town in Spain, on the river Rubricatus
Subura	quarter in Rome, in the second region
Sucasini	surname of the Interamnates on the Liris in Latium
Succabar	town in Mauritania
Succasses	people of Gaul
Succi	people of Thrace
Suche	town in Egypt
Sucro	river of Hispania Tarraconensis, now the Xucar
Sudines	writer on precious stones
Sue	town in Assyria
Suebri	people of Gaul
Suel	town in Spain
Suelleni	people of Arabia
Suelteri	people of Gallia Narbonensis
Suessa	city of Latium
Suessetani	people of Hispania Tarraconensis
Suessiones	people in Gaul
Suessula	town of Campania, now Castel di Sessola
Suetonius	Roman family name
Suetri	Alpine people
Suevi	powerful people in the north-eastern part of Germany
Suevius	poet, otherwise unknown
Sufetula	town in Africa, Aug. c
Suffenates	inhabitants of Nebula Suffena
Suffenus	bad poet, ridiculed by Catullus
Suillates	people of Umbria
Suiones	northern Germanic people of Scandinavia, in the mod
Suismontium	mountain of Liguria
Sulca	Roman surname
Sulci	ancient maritime city on the southern coast of Sardinia
Suliviae	kind of wood-goddesses
Sulla	surname in the gens Cornelia
Sulmo	town in the territory of the Peligni, near Corfinium
Sulpicilla	poetess Sulpicia
Sulpicius	Roman family name
Summanes	kind of inferior deities
Summanus	Roman deity to whom nocturnal lightnings were asscribed
Summara	town in Ethiopia
Summoenium	place in Rome, probably near the walls
Sunamitis	Shunamite
Sunium	promontory and town of Attica, now Capo Colonna
Sunuci	Belgic people
Supinalis	epithet of Jupiter, as he who overthrows
Sura2	river of Germany, now the Saur
Sura3	Roman surname
Surae	people of India
Surdaones	people of Spain
Surium	town in Colchis
Surius	river of Colchis
Surrentum	maritime town of Campania, now Sorrento
Surus2	celebrated elephant in the Carthaginian army, mentioned
Susa	ancient capital of Persia, now prob
Suthul	fortress in Numidia
Sutrium	ancient town in Etruria, now Sutri
Sybaris	town in Magna Graecia
Sybota	islands between Epirus and Corfu
Sychaeus	husband of Dido
Sycurium	town of Thessaly
Sycussa	island in the Aegean Sea
Sydraci	people of India
Syene	town at the southern extremity of Upper Egypt
Sygaros	island of Arabia
Syleum	stronghold in Pamphylia
Syllus	name of a general
Symaethum	river and town situated upon it on the east coast
Syme	island of the Aegean Sea, between Rhodes and Cnidos
Symmachus	consul and prefect of Rome towards the end
Symplegades	Two rocky islands in the Euxine
Symposium	title of one of Plato's dialogues
Synapothnescontes	title of a comedy by Diphilus
Synaristosae	women breakfasting together
Synephebi	Fellow-youths, the title of a comedy by Statius Caecilius
Synhietae	people of Asia
Synicense	fortress in Numidia
Synnada	town in Phrygia Major, famous for its marble
Syphax	king of Numidia at the time
Sypheum	town of the Bruttii, now Montalto
Syra	name of a slave
Syracusae	city of Syracuse in Sicily, now Siragossa
Syrbotae	people of Ethiopia remarkable for stature
Syria	country in Asia, on the Mediterranean Sea
Syriarcha	chief priest in Syria, Cod
Syrie	island near Ephesus
Syrinx	nymph changed into a reed
Syrmatae	people of Asia
Syrnos	island in the Aegean Sea, one of the Sporades
Syrophoenix	Syrophoenician
Syros	one of the Cyclades, between Delos and Paros
Syrtis	sand-bank in the sea
Syrus3	name of a slave
Tabae	town of Caria, on the boundaries of Phrygia
Tabis	mountain of Eastern Asia
Tabraca	town of Numidia, on the Mediterranean Sea, now Tabarkah
Taburnus	small mountainchain south of Caudium, between Samnium and Campania
Tacitus2	Roman proper name
Tacompsos	town of Ethiopia, upon an island of the Nile
Tader	river in Spain
Tadiates	extinct tribe of Central Italy
Tadinates	people of Umbria
Tadius	painter of the Age of Augustus
Tadu	island near Meroe in Ethiopia
Taenarus	promontory and town in Laconia
Tagaste	city in Numidia, south-east of Hippo Regius
Tages	Etrurian divinity, grandson of Jupiter
Tagrus	mountain in Lusitania
Tagus	river in Lusitania, celebrated for its golden sands
Talasio	congratulatory exclamation to a bride
Talaus	Argonaut, the father of Adrastus and Eriphyle
Talge	small island in the Caspian Sea
Talthybius	herald of Agamemnon
Tamarici	people of Hispania Tarraconensis, on the river Tamaris
Tamasos	ancient city of Cyprus
Tamesis	river in Britain, now the Thames
Tamfana	name of a deity worshipped by the Marsi
Tamphilus	Roman surname
Tana	river of Numidia, between Lares and Capsa
Tanager	small river in Lucania, now Negro or Tangro
Tanagra	town of Boeotia, now Grimadha
Tanais	river Tanais, now the Don
Tanaquil	proud, imperious wife of the elder Tarquin
Tanetum	village of Upper Italy, now Taneto
Tantalus	king of Phrygia, son of Jupiter
Tanusius	Roman family name
Taphrae	isthmus of the Tauric Chersonese
Taposiris	town in Egypt
Tappulus	Roman surname
Taprobane	island in the Indian Ocean, now Ceylon
Taranis	name of Jupiter among the Gauls
Taranucnus	name of a German deity
Taras	son of Neptune
Taratalla	humorous name of a cook, taken from Homer
Tarbelli	people in Aquitanian Gaul
Tarcho	noble Etrurian who assisted Aeneas against Turnus
Tarcondimotus	Cilician prince and faithful ally of the Romans
Tarentum	town of Lower Italy, founded by the Spartan Parthenians
Targines	river of Magna Graecia
Tarichea	sea or lake of Galilee
Taricheae	town of Galilee, near Tiberias, now El-Kerak, Cassiod. ap
Tarinates	people in the Sabine country
Tariotae	people of Dalmatia
Tarnis	river of Gaul falling into the Garonne
Tarpeius	Roman proper name
Tarquinii	very ancient and important town of Etruria, now Trachina
Tarquitius	Etruscan proper name
Tarracina	town in Latium, formerly called Anxur, now Terracina
Tarraco	town in Spain, now Tarragona
Tarragenses	people of Hispania Tarraconensis
Tarsatica	city of Illyria
Tarsus	capital of Cilicia, now Tersoos
Tartarus1	infernal regions, Tartarus
Tartarus2	river of Italy, now Tariaro
Tartessus	very ancient maritime town of Spain, now El Rocadillo
Tarusates	people of Aquitanian Gaul
Tarutius	Roman proper name
Tasgetius	prince of the Carnutes
Tatius	king of the Sabines
Taulantii	people of Illyria
Taum	arm of the sea in Britain
Taunus	mountain range in Western Germany
Tauri	Taurians, a Thracian people
Taurianum	town in Bruttia
Taurii	games at Rome in the Circus Flaminius
Taurini	people of Northern Italy, near the modern Turin
Tauris	island near Illyria, Auct
Taurisci	Alpine tribe in Pannonia
Tauriscus2	name of a Greek actor
Taurois	fortress belonging to Marseilles
Tauromenium	town in the eastern part of Sicily, now Taormina
Tauropolos	appellation of Diana
Taurubulae	island near Naples
Taurus2	high mountainrange in the south-eastern part of Asia Minor
Taurus3	Roman proper name
Taveni	people of Arabia
Taxilae	name of a people in India
Taximagulus	king of Kent
Taygete	daughter of Atlas and Pleione, one of the Pleiades
Taygetus	ridge of mountains in Laconia
Tazata	island in the Caspian Sea
Teanum	name of two Italian towns
Teate	town on the Adriatic Sea, near Corfinium, now Chieti
Teates	people in Apulia
Technopaegnion	title of a poem by Ausonius
Tecmessa	daughter of king Teuthras
Tecmon	town of Epirus
Tectosages	people in Gallia Narbonensis
Tedigniloquides	comically-formed proper name
Tegea	very ancient town in Arcadia, now Paleo - Episkopi
Telamo2	Argonaut, son of Aeacus, brother of Peleus
Telandria	island near Lycia
Telchines	fabled family of priests in Rhodes
Teleboae	people in Acarnania, noted for robbing travellers
Teleboas	centaur killed by Nestor at the marriage of Pirithous
Telegonus	son of Ulysses and Circe
Telemachus	son of Ulysses and Penelope
Telemus	name of a soothsayer
Telendos	island near Lycia
Telephus	king of Mysia
Telesia	town of Samnium, now the village Telese
Telestes	father of Ianthe
Telestus	Greek painter
Telethrius	grassy mountain of Euboea
Telethusa	wife of Ligdus and mother of Iphis
Tellena	town of Latium, now Toretta
Tellumo	god among the Romans
Telmessus	town in Lycia, near to Caria
Temarunda	Scythian name of the Palus Maeotis
Temenos	place at Syracuse sacred to Apollo
Temesa	town in the territory of the Bruttians
Temnos	town in Aeolia, now Menimen
Tempyra	town
Tenchtheri	German people on the Rhine
Tendeba	town of Caria
Tenea	town between Corinth and Mycenae, now Klenia
Tenedos	celebrated island in the Aegean Sea
